data_model,fit_model,n,nll_mean,nll_std,bic_mean,aic_mean,fail_rate,rmsse_median,rmsse_p90
Agent,Agent,600,20.645189539430266,22.30749121472396,64.316230008801,51.290379078860525,0.0,0.10994761159619715,0.34275508485499395
Agent,ORLAgent,600,54.38550116255905,21.467159231391943,131.79685325505858,118.77100232511812,0.0,,
Agent,PVLDeltaAgent,600,99.56525262510509,44.214875245943354,217.55118599416252,207.13050525021018,0.0,,
ORLAgent,ORLAgent,600,65.7268656833595,36.898118121241296,154.4795822966595,141.453731366719,0.0,0.23248106965353843,0.4241795209134528
ORLAgent,PVLDeltaAgent,600,89.7247378573086,46.23708678467703,197.87015645856954,187.4494757146172,0.0,,
ORLAgent,Agent,600,93.94044098772116,48.56264669355059,210.90673290538277,197.88088197544232,0.0,,
PVLDeltaAgent,PVLDeltaAgent,600,24.212646091212548,37.296373228913545,66.84597292637746,56.425292182425096,0.0,0.23950417097383492,0.45627120840499896
PVLDeltaAgent,ORLAgent,600,29.796685901207415,36.33944465992849,82.61922273235528,69.59337180241482,0.0,,
PVLDeltaAgent,Agent,600,31.303836194160564,40.693288128808376,85.63352331826158,72.60767238832113,0.0,,
